,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1377.jpg,1.0,3.0,3.0,11.0,23.0,33.0,33.0,33.0,31.0,29.0,17.0,13.0,11.0,11.0,11.0,9.0,11.0,11.0,9.0,11.0,9.0,7.0,7.0,9.0,9.0,21.0,23.0,35.0,37.0,43.0,43.0,39.0,27.0,17.0,15.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,5.0,11.0,15.0,27.0,27.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1396.jpg,3.0,3.0,3.0,11.0,17.0,33.0,39.0,37.0,35.0,33.0,21.0,13.0,13.0,9.0,11.0,11.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,13.0,29.0,43.0,45.0,45.0,45.0,27.0,23.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,13.0,21.0,35.0,33.0,33.0,33.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1414.jpg,3.0,3.0,5.0,9.0,15.0,21.0,33.0,35.0,33.0,25.0,17.0,13.0,13.0,11.0,11.0,9.0,9.0,7.0,11.0,9.0,7.0,9.0,9.0,9.0,9.0,17.0,25.0,33.0,45.0,41.0,31.0,29.0,19.0,17.0,11.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,13.0,23.0,25.0,35.0,33.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.jpg,7.0,9.0,5.0,19.0,37.0,39.0,37.0,33.0,31.0,27.0,13.0,19.0,13.0,15.0,13.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,7.0,9.0,9.0,13.0,15.0,13.0,33.0,47.0,45.0,45.0,43.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,9.0,29.0,33.0,33.0,31.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1434.jpg,3.0,7.0,7.0,13.0,31.0,35.0,33.0,31.0,27.0,21.0,15.0,13.0,13.0,9.0,11.0,11.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,9.0,19.0,37.0,43.0,43.0,37.0,21.0,19.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,9.0,29.0,31.0,31.0,29.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1453.jpg,1.0,1.0,1.0,5.0,1.0,17.0,31.0,33.0,33.0,29.0,13.0,15.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,7.0,11.0,11.0,27.0,39.0,41.0,45.0,41.0,29.0,19.0,13.0,7.0,1.0,1.0,3.0,3.0,1.0,3.0,11.0,17.0,31.0,31.0,29.0,25.0,7.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1468.jpg,1.0,3.0,1.0,3.0,17.0,21.0,31.0,39.0,37.0,37.0,33.0,27.0,17.0,17.0,15.0,11.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,13.0,15.0,27.0,31.0,37.0,43.0,43.0,39.0,27.0,19.0,15.0,9.0,7.0,1.0,3.0,1.0,5.0,23.0,29.0,35.0,35.0,29.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1482.jpg,3.0,1.0,3.0,5.0,31.0,35.0,35.0,35.0,31.0,27.0,15.0,15.0,11.0,13.0,11.0,9.0,11.0,11.0,13.0,11.0,11.0,9.0,9.0,9.0,17.0,25.0,31.0,41.0,45.0,43.0,35.0,25.0,21.0,15.0,5.0,7.0,1.0,1.0,1.0,3.0,31.0,31.0,31.0,29.0,17.0,19.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.jpg,3.0,1.0,11.0,19.0,29.0,41.0,41.0,39.0,35.0,29.0,15.0,15.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,23.0,33.0,37.0,43.0,45.0,47.0,33.0,19.0,17.0,7.0,5.0,1.0,1.0,1.0,1.0,5.0,15.0,29.0,33.0,33.0,31.0,29.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517.jpg,1.0,1.0,1.0,7.0,7.0,21.0,33.0,35.0,35.0,35.0,31.0,15.0,15.0,13.0,13.0,15.0,13.0,13.0,11.0,13.0,13.0,13.0,13.0,15.0,17.0,19.0,39.0,47.0,47.0,47.0,31.0,17.0,9.0,9.0,3.0,5.0,3.0,1.0,3.0,1.0,7.0,31.0,31.0,31.0,31.0,29.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
