,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1270.jpg,1,2,2,9,19,18,36,65,67,65,63,61,63,55,53,47,40,18,19,19,16,15,19,15,16,19,16,16,16,16,16,14,14,18,16,15,16,12,13,16,12,15,15,12,12,15,15,13,15,19,19,17,40,46,52,82,81,84,83,69,72,74,66,46,27,26,14,9,9,2,0,4,0,0,0,0,0,0,0,0,0,4,6,15,18,51,52,61,61,60,60,57,55,49,33,27,0,0,0,0
1289.jpg,1,1,0,1,12,9,14,21,26,53,68,68,69,67,66,60,58,22,20,21,19,20,24,18,22,25,25,30,27,31,26,24,21,18,20,21,19,20,21,20,18,17,19,18,26,19,20,22,21,35,43,49,88,89,92,92,92,94,94,92,58,40,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,27,68,72,73,74,73,72,72,68,62,60,11,5,10,0,0,0,0
1306.jpg,0,0,1,1,1,1,5,6,8,7,9,10,13,17,21,29,68,67,67,65,67,65,63,64,46,42,28,21,25,22,22,24,18,17,16,19,12,14,17,13,14,18,13,15,15,17,17,13,17,14,12,19,11,30,32,39,78,80,93,92,94,92,92,90,85,81,1,1,0,1,1,0,0,0,0,0,2,0,1,3,4,8,20,22,55,55,55,53,52,53,51,51,22,20,4,1,0,0,0,0
1326.jpg,0,1,1,3,1,9,21,25,37,39,68,70,69,69,66,65,62,61,58,27,25,25,21,23,23,22,22,20,20,15,22,20,23,20,22,23,21,24,21,24,18,21,22,20,20,17,18,16,22,18,22,25,29,86,86,87,89,91,90,90,88,73,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6,8,5,5,66,66,67,67,68,66,63,62,58,59,1,1,7
1345.jpg,0,0,0,0,0,0,0,0,1,0,4,8,9,14,39,55,57,63,64,64,64,63,62,56,39,27,29,26,27,27,23,23,22,23,23,23,22,21,22,23,25,22,26,27,29,28,28,29,35,31,63,78,80,86,87,90,90,93,80,77,47,22,25,18,11,1,0,3,0,0,0,0,0,0,0,0,2,0,2,3,4,5,8,11,12,14,65,65,66,66,64,64,51,47,15,0,0,0,0,0
1357.jpg,2,3,6,11,33,36,67,68,72,70,71,70,69,69,64,58,25,25,26,23,24,26,25,22,20,22,20,22,21,18,17,15,15,15,14,14,10,15,16,15,14,12,15,14,14,31,31,42,56,61,71,72,79,78,89,67,68,52,37,35,36,32,15,10,10,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,24,27,37,60,63,63,60,60,59,59,33,30,0,0,0,0
1377.jpg,0,0,0,0,0,1,12,23,33,46,47,63,63,63,62,61,59,58,55,56,25,23,25,19,17,16,17,16,16,18,15,16,15,17,16,17,16,17,13,14,11,13,14,11,14,9,13,12,15,13,15,30,26,45,38,53,61,73,80,86,85,81,74,66,53,31,29,27,24,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,15,30,34,55,51,51,51,48,0,0,0,0
1396.jpg,0,0,0,4,4,6,15,14,26,31,40,67,69,72,72,71,68,65,59,59,34,19,23,13,14,19,16,16,15,17,16,16,17,15,14,15,16,14,14,14,12,13,15,16,14,13,16,15,19,26,25,43,44,84,85,88,88,87,86,51,52,43,39,22,13,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,25,42,44,66,66,67,65,64,59,55,24,1,1,6
1414.jpg,0,0,0,0,0,0,3,12,17,26,23,40,60,61,66,64,62,51,46,28,22,23,19,20,19,19,18,15,16,13,14,14,14,17,13,16,14,11,16,13,12,13,14,11,10,14,12,12,10,24,29,24,40,41,57,66,68,86,80,76,58,60,50,49,38,31,32,27,22,13,6,1,0,0,0,0,0,0,0,0,0,0,2,3,11,25,32,35,40,40,67,67,65,53,47,23,6,5,1,0
143.jpg,2,0,1,6,2,8,30,32,67,69,72,71,69,68,68,64,59,59,49,46,28,21,22,20,20,21,20,22,20,19,15,16,15,14,12,16,12,13,13,11,10,13,9,10,14,11,16,10,13,19,17,18,18,18,20,22,60,62,89,89,89,89,89,86,84,81,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,6,6,12,22,25,60,60,62,62,63,62,60,33,27,20,1,0,2
1434.jpg,1,1,0,3,5,6,22,22,37,57,58,64,62,61,54,56,53,37,37,27,24,25,19,19,16,20,15,14,18,15,15,16,14,15,16,15,17,13,15,14,15,13,11,15,18,16,16,14,25,39,43,67,68,85,83,85,69,36,36,28,25,21,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,14,15,53,53,60,60,59,60,56,56,16,13,10,2,1,3
1453.jpg,0,0,0,0,0,0,0,0,2,3,26,27,60,60,59,59,59,57,53,49,25,20,21,20,18,21,16,19,18,16,16,17,16,17,15,16,17,17,15,17,18,14,14,14,15,18,15,13,39,44,44,68,64,78,83,78,78,50,48,37,29,27,20,20,14,1,0,2,0,0,0,0,0,0,0,2,1,3,2,16,28,30,61,61,61,60,59,58,49,47,11,2,0,1,0,1,0,0,0,0
1468.jpg,0,0,0,0,0,0,0,0,24,26,32,40,48,51,75,76,74,72,71,72,64,52,49,41,21,22,21,22,21,20,20,20,17,18,19,15,15,16,12,13,16,15,13,15,13,14,15,16,13,19,22,17,30,42,46,58,59,62,77,84,86,84,76,54,51,48,37,32,27,20,16,15,10,5,3,1,1,0,0,0,3,4,26,37,44,56,67,67,67,63,61,27,11,9,1,1,0,0,0,0
1482.jpg,0,0,0,0,0,0,0,0,57,59,69,69,71,68,69,66,61,58,53,31,32,29,24,23,18,18,20,19,20,18,19,17,18,21,17,18,19,14,15,18,11,16,13,14,13,10,13,11,15,28,34,40,55,55,64,81,83,89,86,87,66,66,48,43,42,34,24,22,6,8,1,2,0,0,0,0,0,0,0,0,23,59,59,59,57,57,56,52,31,30,29,19,6,2,5,0,0,0,0,0
1500.jpg,0,0,0,0,2,13,15,34,46,52,78,76,76,75,75,75,70,71,51,48,29,18,18,22,14,15,15,14,14,13,16,12,13,14,11,16,11,11,13,11,13,15,14,14,15,14,15,14,21,13,14,46,41,59,67,69,78,85,88,89,88,88,65,63,36,31,30,16,12,11,1,2,0,0,0,0,0,0,0,0,2,5,20,20,34,59,58,62,64,60,57,57,57,31,29,17,0,0,0,0
1517.jpg,0,0,0,0,0,0,0,0,0,16,26,36,40,62,68,71,72,70,70,64,59,27,25,29,21,21,20,21,23,23,21,18,19,20,17,22,21,19,23,21,18,20,20,16,23,17,22,20,19,25,22,22,69,69,88,88,92,91,92,91,56,49,34,31,17,15,14,8,4,3,3,2,0,0,0,0,0,0,0,0,2,13,15,62,62,63,60,60,61,59,55,1,4,3,1,0,0,0,0,0
1535.jpg,0,0,0,0,0,0,2,6,8,25,25,44,45,64,65,74,71,70,71,68,66,64,63,60,53,50,30,28,32,26,27,24,23,22,23,21,22,23,24,17,19,21,23,18,19,20,21,18,21,55,60,60,65,85,87,89,90,88,86,88,88,91,90,89,60,57,33,34,17,13,3,0,0,0,0,1,1,1,10,12,42,42,65,66,66,66,64,63,62,43,42,20,19,7,7,2,0,0,0,0
1554.jpg,0,0,0,0,0,0,0,5,9,40,41,68,69,69,70,67,67,47,41,27,23,22,19,20,17,17,21,18,17,18,18,21,16,17,16,18,15,15,18,15,15,16,14,14,14,18,22,18,58,53,61,82,86,86,87,88,90,91,91,86,40,32,31,19,13,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,16,57,61,60,60,60,60,59,58,53,44,4,8,8,0,0,0,0
1556.jpg,0,0,0,0,0,0,0,0,26,28,30,47,48,47,67,66,70,67,39,39,34,29,23,17,16,16,14,16,13,14,14,17,16,16,15,15,15,13,15,14,13,15,12,12,14,14,17,15,18,26,32,31,44,57,60,67,85,86,87,80,80,60,46,47,30,29,26,17,17,14,12,11,0,0,0,0,0,0,0,0,2,3,4,8,7,11,32,33,56,56,58,56,57,55,56,46,20,3,2,0
1572.jpg,2,0,1,2,2,8,22,24,52,53,70,68,68,68,68,66,67,65,35,33,22,17,17,19,15,17,13,17,12,14,14,12,13,13,13,16,14,13,12,15,13,15,13,14,13,12,13,13,20,20,19,33,36,55,63,67,88,90,89,88,87,61,63,49,41,28,22,21,14,11,3,1,0,0,0,0,0,0,0,0,1,0,2,0,3,20,22,30,34,54,55,62,61,61,39,38,29,0,1,3
