,H,d_c,cluster
0,1.0136877172587055,266.0,26.0
0,1.0136877172587058,266.5,26.0
0,0.939039850661351,267.0,28.0
0,0.9368124579997472,267.5,29.0
0,0.954110086953921,268.0,27.0
0,1.0737693437300748,268.5,32.0
0,0.9669478199878742,269.0,27.0
0,0.9669478199878743,269.5,27.0
0,1.0028679091801944,270.0,30.0
0,1.0201450347442813,270.5,32.0
0,0.9454253768067415,271.0,27.0
0,0.9476527694683454,271.5,26.0
0,0.9231995054515598,272.0,24.0
0,0.7981787022030884,272.5,23.0
0,0.8564567272913984,273.0,25.0
0,0.8564567272913985,273.5,25.0
0,0.8190946731817487,274.0,24.0
0,0.7385050620113748,274.5,19.0
0,0.7522804320511932,275.0,19.0
0,0.7545078247127971,275.5,18.0
0,0.6457892801491469,276.0,14.0
0,0.643561887487543,276.5,15.0
0,0.6221276172693004,277.0,12.0
0,0.727119502124791,277.5,17.0
0,0.7014339128605623,278.0,15.0
0,0.7014339128605624,278.5,15.0
0,0.657362121405635,279.0,11.0
0,0.652433879004627,279.5,10.0
0,0.6033892620841957,280.0,11.0
0,0.6033892620841956,280.5,11.0
0,0.5252854889168753,281.0,13.0
0,0.5252854889168753,281.5,13.0
0,0.5163742068128483,282.0,14.0
0,0.5163742068128484,282.5,14.0
0,0.478824073578796,283.0,12.0
0,0.478824073578796,283.5,12.0
0,0.43902714275168053,284.0,11.0
0,0.43902714275168053,284.5,11.0
0,0.421112087344658,285.0,10.0
0,0.421112087344658,285.5,10.0
0,0.4153068771517483,286.0,9.0
0,0.35309668920193116,286.5,5.0
0,0.3719031574976328,287.0,6.0
0,0.3647071095877506,287.5,7.0
0,0.3167650174720443,288.0,7.0
0,0.3167650174720443,288.5,7.0
0,0.3355858504646353,289.0,8.0
0,0.37635794282084045,289.5,10.0
0,0.3185737306000075,290.0,8.0
0,0.3185737306000075,290.5,8.0
0,0.29975289760741647,291.0,7.0
