,H,d_c,cluster
0,2.06597966252006,150.5,21.0
0,1.8953082935147205,151.0,17.0
0,1.8953082935147205,151.5,17.0
0,1.8476229876490375,152.0,17.0
0,1.820964901419769,152.5,16.0
0,1.7845913592017375,153.0,12.0
0,1.7671198508380224,153.5,11.0
0,1.665263858062698,154.0,12.0
0,1.6928051458322115,154.5,13.0
0,1.5351310657056931,155.0,14.0
0,1.523215266029278,155.5,15.0
0,1.400887502988688,156.0,12.0
0,1.400887502988688,156.5,12.0
0,1.3747031312719895,157.0,12.0
0,1.3643898727735984,157.5,11.0
0,1.4388897712747033,158.0,14.0
0,1.441046592709456,158.5,13.0
0,1.3277210609677939,159.0,12.0
0,1.3059792310408316,159.5,11.0
0,1.2573165381029332,160.0,13.0
0,1.2573165381029332,160.5,13.0
0,1.2830543611812697,161.0,10.0
0,1.28305436118127,161.5,10.0
0,1.2381127380148265,162.0,8.0
0,1.2146156658456864,162.5,5.0
0,1.2717084663739342,163.0,7.0
0,1.325194048083432,163.5,8.0
0,1.2323778267200005,164.0,6.0
0,1.2323778267200005,164.5,6.0
0,1.0119253972020925,165.0,7.0
0,1.0016121387037018,165.5,6.0
0,0.995897852989416,166.0,4.0
0,1.006211111487807,166.5,5.0
0,1.053401914767561,167.0,5.0
0,1.053401914767561,167.5,5.0
0,0.9701294788191875,168.0,4.0
0,0.9701294788191875,168.5,4.0
0,0.8944898089244053,169.0,6.0
0,0.9951523512274058,169.5,7.0
0,1.0639689184964805,170.0,6.0
0,0.8764176117542455,170.5,5.0
0,0.7268727918800005,171.0,6.0
0,0.7268727918800005,171.5,6.0
0,0.7176010418861819,172.0,5.0
0,0.7268727918800005,172.5,6.0
0,0.7268727918800005,173.0,6.0
0,0.7176010418861819,173.5,5.0
0,0.7616552078684867,174.0,3.0
0,0.7616552078684867,174.5,3.0
0,0.6668498907498346,175.0,6.0
0,0.6360119418019934,175.5,6.0
0,0.7415816251512193,176.0,6.0
0,0.7599242376598102,176.5,7.0
0,0.7041763654196289,177.0,8.0
0,0.7041763654196289,177.5,9.0
0,0.7210597456752854,178.0,6.0
0,0.7210597456752854,178.5,6.0
0,0.570951109621003,179.0,5.0
0,0.5431236506495117,179.5,4.0
0,0.23777484528619872,180.0,4.0
0,0.23777484528619872,180.5,4.0
0,0.22076321391324413,181.0,4.0
0,0.22076321391324413,181.5,4.0
0,0.3051914262957142,182.0,7.0
0,0.2770608361818792,182.5,7.0
0,0.2029095115723944,183.0,5.0
0,0.2029095115723944,183.5,5.0
0,0.2029095115723944,184.0,5.0
0,0.3565207359983174,184.5,4.0
0,0.13547931090487636,185.0,4.0
0,0.2706599167271328,185.5,8.0
0,0.19187335526868704,186.0,6.0
0,0.19187335526868704,186.5,6.0
0,0.18615906955440134,187.0,5.0
0,0.18615906955440134,187.5,5.0
0,0.13547931090487636,188.0,4.0
0,0.13547931090487636,188.5,4.0
0,0.05651300738845032,189.0,2.0
0,0.050798721674164604,189.5,1.0
0,0.12976502519059063,190.0,3.0
0,0.08475176084759584,190.5,3.0
0,0.05651300738845032,191.0,2.0
0,0.05651300738845032,191.5,2.0
0,0.05651300738845032,192.0,2.0
0,0.07903747513331012,192.5,2.0
0,0.07903747513331012,193.0,2.0
0,0.07903747513331012,193.5,2.0
0,-0.0,194.0,0.0
0,-0.0,194.5,0.0
0,-0.0,195.0,0.0
0,-0.0,195.5,0.0
0,-0.0,196.0,0.0
0,0.028262409126132773,196.5,1.0
0,-0.0,197.0,0.0
0,0.028262409126132773,197.5,1.0
0,-0.0,198.0,0.0
0,-0.0,198.5,0.0
0,-0.0,199.0,0.0
0,-0.0,199.5,0.0
0,-0.0,200.0,0.0
0,-0.0,200.5,0.0
0,-0.0,201.0,0.0
0,0.028262409126132773,201.5,1.0
0,0.028262409126132773,202.0,1.0
0,0.028262409126132773,202.5,1.0
0,-0.0,203.0,0.0
0,-0.0,203.5,0.0
0,-0.0,204.0,0.0
0,-0.0,204.5,0.0
0,-0.0,205.0,0.0
0,-0.0,205.5,0.0
0,-0.0,206.0,0.0
0,-0.0,206.5,0.0
0,-0.0,207.0,0.0
0,-0.0,207.5,0.0
0,-0.0,208.0,0.0
0,-0.0,208.5,0.0
0,-0.0,209.0,0.0
0,-0.0,209.5,0.0
0,-0.0,210.0,0.0
0,-0.0,210.5,0.0
0,-0.0,211.0,0.0
0,-0.0,211.5,0.0
0,-0.0,212.0,0.0
0,-0.0,212.5,0.0
0,-0.0,213.0,0.0
0,-0.0,213.5,0.0
0,-0.0,214.0,0.0
0,-0.0,214.5,0.0
0,-0.0,215.0,0.0
0,-0.0,215.5,0.0
0,-0.0,216.0,0.0
0,-0.0,216.5,0.0
0,-0.0,217.0,0.0
0,-0.0,217.5,0.0
0,-0.0,218.0,0.0
0,-0.0,218.5,0.0
0,-0.0,219.0,0.0
0,-0.0,219.5,0.0
0,-0.0,220.0,0.0
0,-0.0,220.5,0.0
0,-0.0,221.0,0.0
0,-0.0,221.5,0.0
0,-0.0,222.0,0.0
0,-0.0,222.5,0.0
0,-0.0,223.0,0.0
0,-0.0,223.5,0.0
0,-0.0,224.0,0.0
0,-0.0,224.5,0.0
0,-0.0,225.0,0.0
0,-0.0,225.5,0.0
0,-0.0,226.0,0.0
0,-0.0,226.5,0.0
0,-0.0,227.0,0.0
0,-0.0,227.5,0.0
0,-0.0,228.0,0.0
0,-0.0,228.5,0.0
0,-0.0,229.0,0.0
0,-0.0,229.5,0.0
0,-0.0,230.0,0.0
0,-0.0,230.5,0.0
0,-0.0,231.0,0.0
0,-0.0,231.5,0.0
0,-0.0,232.0,0.0
0,-0.0,232.5,0.0
0,-0.0,233.0,0.0
0,-0.0,233.5,0.0
0,-0.0,234.0,0.0
0,-0.0,234.5,0.0
0,-0.0,235.0,0.0
0,-0.0,235.5,0.0
0,-0.0,236.0,0.0
0,-0.0,236.5,0.0
0,-0.0,237.0,0.0
0,-0.0,237.5,0.0
0,-0.0,238.0,0.0
0,-0.0,238.5,0.0
0,-0.0,239.0,0.0
0,-0.0,239.5,0.0
0,-0.0,240.0,0.0
0,-0.0,240.5,0.0
0,-0.0,241.0,0.0
0,-0.0,241.5,0.0
0,-0.0,242.0,0.0
0,-0.0,242.5,0.0
0,-0.0,243.0,0.0
0,-0.0,243.5,0.0
0,-0.0,244.0,0.0
0,-0.0,244.5,0.0
0,-0.0,245.0,0.0
0,-0.0,245.5,0.0
0,-0.0,246.0,0.0
0,-0.0,246.5,0.0
0,-0.0,247.0,0.0
0,-0.0,247.5,0.0
0,-0.0,248.0,0.0
0,-0.0,248.5,0.0
0,-0.0,249.0,0.0
